state_name,state_code,county_name,population,total_votes,turnout,college_educated,households_total,households_mean_income,households_median_income,families_total,families_mean_income,families_median_income,poverty_total,poverty_percent,per_point_diff,college_educated_percent
Arkansas,AR,Perry County,10184.0,4584.0,0.45011783189316573,1258.0,3840.0,75452.0,60078.0,2792.0,85165.0,74960.0,1558.0,15.298507462686567,57.5,12.352710133542812
Arkansas,AR,Phillips County,14961.0,4938.0,0.33005815119310206,1581.0,6179.0,54537.0,38874.0,3869.0,66890.0,50477.0,4534.0,30.305460864915446,-13.28,10.567475436133948
Arkansas,AR,Pike County,10208.0,4358.0,0.42692006269592475,1480.0,4120.0,70571.0,51000.0,2688.0,87248.0,67609.0,1871.0,18.328761755485893,73.11,14.498432601880879
Arkansas,AR,Poinsett County,22397.0,7079.0,0.3160691163995178,2021.0,9031.0,62397.0,47188.0,5461.0,77150.0,61172.0,4466.0,19.94017055855695,63.51,9.02352993704514
Arkansas,AR,Polk County,19436.0,8288.0,0.42642519036838855,2344.0,7884.0,75460.0,49252.0,5078.0,90007.0,61273.0,3611.0,18.57892570487755,70.49,12.060094669685121
Arkansas,AR,Pope County,64593.0,24191.0,0.37451426625176104,10741.0,24073.0,77373.0,54606.0,15970.0,93992.0,70353.0,10633.0,16.461536079760965,52.21,16.628736860031275
Arkansas,AR,Prairie County,8036.0,3200.0,0.3982080637132902,1072.0,3261.0,75028.0,51094.0,2033.0,96667.0,80865.0,739.0,9.196117471378795,65.75,13.339970134395221
Arkansas,AR,Pulaski County,400009.0,153924.0,0.3848013419698057,106816.0,169453.0,91685.0,60385.0,97232.0,116695.0,83080.0,63472.0,15.867642978032995,-22.13,26.703399173518594
Arkansas,AR,Randolph County,18907.0,6636.0,0.3509811181044058,1910.0,7071.0,68091.0,52838.0,4626.0,78739.0,64860.0,3879.0,20.51621092716983,63.73,10.10207859522928
Arkansas,AR,Saline County,129574.0,57609.0,0.4446030839520274,25453.0,49589.0,94089.0,76534.0,34727.0,109193.0,93015.0,11244.0,8.677666815873556,40.14,19.643601339774953
