district,candidate_1,party_1,votes_1,percent_1,winner_1,incumbent_1,flipped,candidate_2,party_2,votes_2,percent_2,winner_2,incumbent_2,total_votes,margin,house_turnout
IL 14,Underwood,D,183446.0,55.1,True,True,False,Marter,R,149464.0,44.9,False,False,332910.0,-10.200000000000003,62.928378352834436
IL 15,Miller,R,308825.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,308825.0,100.0,53.17143299874314
IL 16,LaHood,R,310925.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,310925.0,100.0,55.30800291726702
IL 17,Sorensen,D,170261.0,54.43,True,True,False,McGraw,R,142567.0,45.57,False,False,312828.0,-8.86,55.76803429926285
IN 01,Mrvan,D,172467.0,53.44,True,True,False,Niemeyer,R,145056.0,44.95,False,False,317523.0,-8.489999999999995,56.10789606212947
IN 02,Yakym,R,184848.0,62.74,True,True,False,Camp,D,101962.0,34.61,False,False,286810.0,28.130000000000003,52.87941222563308
IN 03,Stutzman,R,202653.0,65.05,True,False,False,Adolph,D,97871.0,31.42,False,False,300524.0,33.629999999999995,54.781166262600486
IN 04,Baird,R,209794.0,64.83,True,True,False,Holder,D,100091.0,30.93,False,False,309885.0,33.9,55.32672737011248
IN 05,Spartz,R,203293.0,56.6,True,True,False,Pickett,D,136554.0,38.02,False,False,339847.0,18.58,59.77013313635484
IN 06,Shreve,R,201357.0,63.94,True,False,False,Wirth,D,99841.0,31.7,False,False,301198.0,32.239999999999995,55.22566213478305
IN 07,Carson,D,185987.0,68.34,True,True,False,Schmitz,R,78792.0,28.95,False,False,264779.0,-39.39,51.25217761604274
IN 08,Messmer,R,219941.0,67.96,True,False,False,Hurt,D,95311.0,29.45,False,False,315252.0,38.50999999999999,54.64681308395015
IN 09,Houchin,R,222884.0,64.47,True,True,False,Peck,D,113400.0,32.8,False,False,336284.0,31.67,57.93055926407635
KS 01,Mann,R,210493.0,69.14,True,True,False,Buskirk,D,93965.0,30.86,False,False,304458.0,38.28,56.92293310398983
KS 02,Schmidt,R,172847.0,57.09,True,False,False,Boyda,D,115685.0,38.21,False,False,288532.0,18.880000000000003,54.613630125966516
KS 03,Davids,D,209871.0,53.36,True,True,False,Reddy,R,167570.0,42.6,False,False,377441.0,-10.759999999999998,70.83571053224233
KS 04,Estes,R,198465.0,65.05,True,True,False,Freeman,D,106632.0,34.95,False,False,305097.0,30.099999999999994,57.9178966351858
KY 01,Comer,R,252729.0,74.72,True,True,False,Marshall,D,85524.0,25.28,False,False,338253.0,49.44,58.930634075803376
KY 02,Guthrie,R,252826.0,73.1,True,True,False,Linderman,D,93029.0,26.9,False,False,345855.0,46.199999999999996,61.03826197451555
KY 03,McGarvey,D,203100.0,61.96,True,True,False,Craven,R,124713.0,38.04,False,False,327813.0,-23.92,60.28689391361919
KY 04,Massie,R,278386.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,278386.0,100.0,49.415293950582225
KY 05,Rogers,R,261407.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,261407.0,100.0,45.198755079104345
KY 06,Barr,R,222293.0,63.04,True,True,False,Cravens,D,130345.0,36.96,False,False,352638.0,26.08,62.78048780487805
LA 01,Scalise,R,238842.0,66.77,True,True,False,Manuel,D,85911.0,24.02,False,False,324753.0,42.75,57.50639691885431
LA 02,Carter,D,184009.0,60.29,True,True,False,Lynch,R,41641.0,13.64,False,False,225650.0,-46.65,40.0347742776797
LA 03,Higgins,R,226279.0,70.56,True,True,False,Gonzalez,D,59834.0,18.66,False,False,286113.0,51.900000000000006,50.67848697669888
LA 04,Johnson,R,262821.0,85.82,True,True,False,Morott,R,43427.0,14.18,False,False,306248.0,71.63999999999999,53.43569789658271
LA 05,Letlow,R,201037.0,62.85,True,True,False,Vallien,D,82981.0,25.94,False,False,284018.0,36.91,48.83390646492435
LA 06,Fields,D,150323.0,50.78,True,False,False,Guillory,R,111737.0,37.74,False,False,262060.0,-13.04,45.72395683390475
MA 01,Neal,D,223325.0,62.58,True,True,False,Milleron,I,133552.0,37.42,False,False,356877.0,-25.159999999999997,59.25236593059937
MA 02,McGovern,D,251441.0,68.79,True,True,False,Shea,I,114065.0,31.21,False,False,365506.0,-37.580000000000005,63.716409974810205
MA 03,Trahan,D,264698.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,264698.0,-100.0,48.662193216288266
MA 04,Auchincloss,D,289347.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,289347.0,-100.0,50.64002940249921
MA 05,Clark,D,286689.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,286689.0,-100.0,53.865622005523925
MA 06,Moulton,D,321186.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,321186.0,-100.0,55.218381714560785
MA 07,Pressley,D,232094.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,232094.0,-100.0,44.138180227637946
MA 08,Lynch,D,265432.0,70.58,True,True,False,Burke,R,110638.0,29.42,False,False,376070.0,-41.16,65.17056433095632
MA 09,Keating,D,251931.0,56.52,True,True,False,Sullivan,R,193822.0,43.48,False,False,445753.0,-13.040000000000006,72.80096032925574
MD 01,Harris,R,246356.0,59.51,True,True,False,Miller,D,154985.0,37.44,False,False,401341.0,22.07,67.84910062212604
MD 02,Olszewski,D,223797.0,58.27,True,False,False,Klacik,R,152079.0,39.6,False,False,375876.0,-18.67,65.5979057591623
MD 03,Elfreth,D,236681.0,59.42,True,False,False,Steinberger,R,151186.0,37.95,False,False,387867.0,-21.47,69.6825482375768
MD 04,Ivey,D,239596.0,88.72,True,True,False,McDermott,R,30454.0,11.28,False,False,270050.0,-77.44,57.35859476221831
MD 05,Hoyer,D,283619.0,67.92,True,True,False,Talkington,R,133985.0,32.08,False,False,417604.0,-35.84,71.90832465195568
MD 06,McClain Delaney,D,199788.0,53.17,True,False,False,Parrott,R,175974.0,46.83,False,False,375762.0,-6.340000000000003,67.92270706048227
MD 07,Mfume,D,232849.0,80.43,True,True,False,Collier,R,49799.0,17.2,False,False,282648.0,-63.230000000000004,50.39546410869023
MD 08,Raskin,D,292101.0,76.96,True,True,False,Riley,R,77821.0,20.5,False,False,369922.0,-56.459999999999994,73.46427294753147
ME 01,Pingree,D,249948.0,58.69,True,True,False,Russell,R,155076.0,36.41,False,False,405024.0,-22.28,73.24719009684333
ME 02,Golden,D,197151.0,50.47,True,True,False,Theriault,R,194445.0,49.78,False,False,391596.0,-0.6899999999999977,71.03073616237836
MI 01,Bergman,R,282264.0,59.15,True,True,False,Barr,D,180937.0,37.92,False,False,463201.0,21.229999999999997,73.18013776541962
MI 02,Moolenaar,R,279167.0,65.14,True,True,False,Lynch,D,135824.0,31.69,False,False,414991.0,33.45,68.19621215233556
MI 03,Scholten,D,225510.0,53.66,True,True,False,Hudson,R,183952.0,43.77,False,False,409462.0,-9.889999999999993,72.31691701768794
MI 04,Huizenga,R,234489.0,55.07,True,True,False,Swartz,D,184641.0,43.36,False,False,419130.0,11.71,72.77131025861395
MI 05,Walberg,R,269215.0,65.68,True,True,False,Urban,D,134282.0,32.76,False,False,403497.0,32.92000000000001,67.60782145370463
