district,d_total,r_total,other_total,total_votes,d_percent,r_percent,other_percent,Winner,margin,Data source,@
FL-19,"150,143","275,143","4,736","430,022",34.92%,63.98%,1.10%,Trump,-29.10%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-20,"207,879","89,175","3,535","300,589",69.16%,29.67%,1.18%,Harris,39.50%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-21,"188,494","263,988","5,125","457,607",41.19%,57.69%,1.12%,Trump,-16.50%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-22,"196,989","176,060","4,556","377,605",52.17%,46.63%,1.21%,Harris,5.50%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-23,"195,655","188,273","4,896","388,824",50.32%,48.42%,1.26%,Harris,1.90%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-24,"190,492","102,000","3,536","296,028",64.35%,34.46%,1.19%,Harris,29.90%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-25,"183,992","165,194","4,722","353,908",51.99%,46.68%,1.33%,Harris,5.30%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-26,"100,410","211,496","2,804","314,710",31.91%,67.20%,0.89%,Trump,-35.30%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-27,"142,010","192,300","3,878","338,188",41.99%,56.86%,1.15%,Trump,-14.90%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-28,"123,604","208,836","3,073","335,513",36.84%,62.24%,0.92%,Trump,-25.40%,Matt Isbell and FL Pol Enjoyer,MappingFL
GA-01,"152,200","209,761","1,512","363,473",41.87%,57.71%,0.42%,Trump,-15.80%,Redistricter,
GA-02,"169,832","145,604",658,"316,094",53.73%,46.06%,0.21%,Harris,7.70%,Redistricter,
GA-03,"146,037","270,130","2,088","418,255",34.92%,64.59%,0.50%,Trump,-29.70%,Redistricter,
GA-04,"234,437","72,044","3,304","309,785",75.68%,23.26%,1.07%,Harris,52.40%,Redistricter,
GA-05,"299,895","47,969","3,401","351,265",85.38%,13.66%,0.97%,Harris,71.70%,Redistricter,
GA-06,"280,053","92,570","2,840","375,463",74.59%,24.65%,0.76%,Harris,49.90%,Redistricter,
GA-07,"166,122","261,239","5,036","432,397",38.42%,60.42%,1.16%,Trump,-22.00%,Redistricter,
GA-08,"119,100","225,082",826,"345,008",34.52%,65.24%,0.24%,Trump,-30.70%,Redistricter,
GA-09,"130,854","267,768","2,631","401,253",32.61%,66.73%,0.66%,Trump,-34.10%,Redistricter,
GA-10,"162,825","248,555","2,194","413,574",39.37%,60.10%,0.53%,Trump,-20.70%,Redistricter,
GA-11,"159,565","257,547","3,889","421,001",37.90%,61.17%,0.92%,Trump,-23.30%,Redistricter,
GA-12,"148,846","198,235","1,160","348,241",42.74%,56.92%,0.33%,Trump,-14.20%,Redistricter,
GA-13,"257,427","103,887","3,377","364,691",70.59%,28.49%,0.93%,Harris,42.10%,Redistricter,
GA-14,"120,582","262,682","2,110","385,374",31.29%,68.16%,0.55%,Trump,-36.90%,Redistricter,
HI-01,"153,037","91,500","4,305","248,842",61.50%,36.77%,1.73%,Harris,24.70%,Leon Sit,
HI-02,"160,007","102,161","5,691","267,859",59.74%,38.14%,2.12%,Harris,21.60%,Leon Sit,
