state_name,state_code,county_name,population,total_votes,turnout,college_educated,_merge
California,CA,Calaveras County,46565.0,26479.0,0.5686459787393966,8028,both
California,CA,Colusa County,22037.0,7021.0,0.3186005354630848,2140,both
California,CA,Contra Costa County,1155025.0,528904.0,0.4579156295318283,377594,both
California,CA,Del Norte County,26589.0,10564.0,0.3973071570950393,4173,both
California,CA,El Dorado County,192215.0,111890.0,0.5821085763337929,56426,both
California,CA,Fresno County,1017162.0,325994.0,0.32049368733790684,158373,both
California,CA,Glenn County,28129.0,10442.0,0.3712183156173344,3159,both
California,CA,Humboldt County,133985.0,64228.0,0.4793670933313431,31594,both
California,CA,Imperial County,179057.0,54025.0,0.30171956416113305,18518,both
California,CA,Inyo County,18527.0,8951.0,0.48313272521185296,4569,both
California,CA,Kern County,913820.0,283246.0,0.30995819745682957,109259,both
California,CA,Kings County,152682.0,41501.0,0.27181331132680997,14055,both
California,CA,Lake County,67878.0,26759.0,0.3942219865052005,8958,both
California,CA,Lassen County,28861.0,11371.0,0.3939918921728284,3136,both
California,CA,Los Angeles County,9663345.0,3728427.0,0.38583192465962873,2574272,both
California,CA,Madera County,162858.0,54624.0,0.335408761006521,18093,both
California,CA,Marin County,254407.0,144113.0,0.5664663315081739,117830,both
California,CA,Mariposa County,16919.0,9509.0,0.5620308528872865,4206,both
California,CA,Mendocino County,89108.0,39216.0,0.44009516541724647,16604,both
California,CA,Merced County,291920.0,86392.0,0.2959440942724034,27726,both
California,CA,Modoc County,8500.0,4016.0,0.47247058823529414,1504,both
California,CA,Mono County,13066.0,6064.0,0.46410531149548445,3334,both
California,CA,Monterey County,430723.0,146718.0,0.3406319142465111,81191,both
California,CA,Napa County,133216.0,65549.0,0.49205050444391063,38519,both
California,CA,Nevada County,102037.0,62132.0,0.6089163734723678,31459,both
California,CA,Orange County,3135755.0,1390965.0,0.44358216761194674,998475,both
California,CA,Placer County,423561.0,234809.0,0.5543687922164694,129289,both
California,CA,Plumas County,19131.0,10067.0,0.5262139982227798,3188,both
California,CA,Riverside County,2492442.0,940405.0,0.3773026614059625,424990,both
California,CA,Sacramento County,1584288.0,656626.0,0.41446125956896723,376317,both
California,CA,San Benito County,68175.0,27649.0,0.40555922258892557,10153,both
California,CA,San Bernardino County,2195611.0,761714.0,0.3469257532413529,340080,both
California,CA,San Diego County,3269973.0,1477786.0,0.45192605565856353,995476,both
California,CA,San Francisco County,808988.0,402964.0,0.49810874821381773,423021,both
California,CA,San Joaquin County,800965.0,263671.0,0.3291916625570406,115165,both
California,CA,San Luis Obispo County,281639.0,150766.0,0.5353164867081619,78513,both
California,CA,San Mateo County,726353.0,330510.0,0.45502668812547065,300925,both
California,CA,Santa Barbara County,441257.0,184715.0,0.41861092288620916,106914,both
California,CA,Santa Clara County,1877592.0,750433.0,0.3996784178884443,783183,both
California,CA,Santa Cruz County,261547.0,134135.0,0.5128523745254199,82058,both
California,CA,Shasta County,180366.0,88900.0,0.4928866859607687,30698,both
California,CA,Sierra County,3200.0,1754.0,0.548125,533,both
California,CA,Siskiyou County,42905.0,21489.0,0.5008507166996854,7495,both
California,CA,Solano County,449218.0,189834.0,0.42258769684206776,91560,both
California,CA,Sonoma County,481812.0,251426.0,0.5218342424016006,137995,both
California,CA,Stanislaus County,551430.0,197472.0,0.35810891681627766,70743,both
California,CA,Sutter County,97948.0,39336.0,0.40160084943030994,13560,both
California,CA,Tehama County,64896.0,26532.0,0.4088387573964497,8619,both
California,CA,Trinity County,15670.0,5645.0,0.3602425015954052,2237,both
California,CA,Tulare County,479468.0,138271.0,0.28838420916515806,47395,both
California,CA,Tuolumne County,54204.0,28810.0,0.5315105896243819,10181,both
California,CA,Ventura County,829590.0,387595.0,0.4672127195361564,214465,both
California,CA,Yolo County,220544.0,92589.0,0.4198209881021474,63816,both
California,CA,Yuba County,85722.0,30070.0,0.35078509600802593,9888,both
Colorado,CO,Adams County,533365.0,233336.0,0.43747902468290945,101046,both
Colorado,CO,Alamosa County,16655.0,7519.0,0.4514560192134494,3072,both
Colorado,CO,Arapahoe County,656061.0,325451.0,0.4960682009752142,215502,both
Colorado,CO,Archuleta County,14189.0,9355.0,0.6593135527521319,4458,both
Colorado,CO,Baca County,3344.0,2004.0,0.5992822966507177,607,both
Colorado,CO,Bent County,5681.0,2189.0,0.38531948600598487,620,both
Colorado,CO,Boulder County,326831.0,196150.0,0.6001572678234317,148090,both
Colorado,CO,Broomfield County,76860.0,46817.0,0.6091204787926099,32716,both
Colorado,CO,Chaffee County,20617.0,14416.0,0.699228791773779,7362,both
Colorado,CO,Cheyenne County,1727.0,1055.0,0.6108859293572669,303,both
Colorado,CO,Clear Creek County,9147.0,6101.0,0.6669946430523669,4259,both
Colorado,CO,Conejos County,7521.0,4104.0,0.5456721180694056,1213,both
Colorado,CO,Costilla County,3628.0,2080.0,0.5733186328555678,748,both
Colorado,CO,Crowley County,5636.0,1706.0,0.3026969481902058,554,both
Colorado,CO,Custer County,5534.0,3867.0,0.6987712323816407,1422,both
Colorado,CO,Delta County,31746.0,19476.0,0.6134946134946135,6080,both
Colorado,CO,Denver County,716577.0,363076.0,0.5066810684685665,306473,both
Colorado,CO,Dolores County,2513.0,1419.0,0.5646637485077597,493,both
Colorado,CO,Douglas County,383906.0,243758.0,0.6349418868160435,158422,both
Colorado,CO,Eagle County,54381.0,27798.0,0.5111711811110499,20412,both
Colorado,CO,El Paso County,744215.0,380813.0,0.5116975605167862,208381,both
Colorado,CO,Elbert County,28806.0,20417.0,0.7087759494549747,7094,both
Colorado,CO,Fremont County,50318.0,25467.0,0.5061210699948329,8184,both
Colorado,CO,Garfield County,62707.0,30372.0,0.4843478399540721,14334,both
Colorado,CO,Gilpin County,5926.0,4129.0,0.6967600404994938,2324,both
Colorado,CO,Grand County,15935.0,9883.0,0.6202070913084405,5278,both
Colorado,CO,Gunnison County,17321.0,10939.0,0.6315455227758212,7294,both
Colorado,CO,Hinsdale County,765.0,606.0,0.792156862745098,379,both
Colorado,CO,Huerfano County,7055.0,4438.0,0.6290574060949681,1443,both
Colorado,CO,Jackson County,1309.0,834.0,0.6371275783040489,319,both
Colorado,CO,Jefferson County,576366.0,361504.0,0.6272125697907233,224143,both
Colorado,CO,Kiowa County,1384.0,863.0,0.6235549132947977,200,both
Colorado,CO,Kit Carson County,6994.0,3698.0,0.5287389190734916,903,both
Colorado,CO,La Plata County,56407.0,35681.0,0.6325633343379368,19933,both
