state_name,state_code,county_name,population,total_votes,_merge
Georgia,GA,Chattooga County,25222.0,10706.0,both
Georgia,GA,Cherokee County,286602.0,162281.0,both
Georgia,GA,Clarke County,129933.0,52887.0,both
Georgia,GA,Clay County,2853.0,1442.0,both
Georgia,GA,Clayton County,298300.0,111729.0,both
Georgia,GA,Clinch County,6746.0,2908.0,both
Georgia,GA,Cobb County,776743.0,401369.0,both
Georgia,GA,Coffee County,43317.0,15715.0,both
Georgia,GA,Colquitt County,46167.0,16611.0,both
Georgia,GA,Columbia County,165162.0,85920.0,both
Georgia,GA,Cook County,17714.0,7357.0,both
Georgia,GA,Coweta County,155892.0,85916.0,both
Georgia,GA,Crawford County,12277.0,6340.0,both
Georgia,GA,Crisp County,19631.0,8116.0,both
Georgia,GA,Dade County,16165.0,8200.0,both
Georgia,GA,Dawson County,31732.0,19561.0,both
Georgia,GA,DeKalb County,762992.0,366008.0,both
Georgia,GA,Decatur County,29087.0,11549.0,both
Georgia,GA,Dodge County,19776.0,8350.0,both
Georgia,GA,Dooly County,10981.0,4177.0,both
Georgia,GA,Dougherty County,82645.0,33850.0,both
Georgia,GA,Douglas County,149160.0,70721.0,both
Georgia,GA,Early County,10563.0,4879.0,both
Georgia,GA,Echols County,3709.0,1438.0,both
Georgia,GA,Effingham County,71541.0,36244.0,both
Georgia,GA,Elbert County,20013.0,9589.0,both
Georgia,GA,Emanuel County,23119.0,9619.0,both
Georgia,GA,Evans County,10754.0,4244.0,both
Georgia,GA,Fannin County,25955.0,16096.0,both
Georgia,GA,Fayette County,123351.0,74633.0,both
Georgia,GA,Floyd County,100113.0,44738.0,both
Georgia,GA,Forsyth County,272887.0,138249.0,both
Georgia,GA,Franklin County,24782.0,12140.0,both
Georgia,GA,Fulton County,1079105.0,535238.0,both
Georgia,GA,Gilmer County,32860.0,18481.0,both
Georgia,GA,Glascock County,2954.0,1670.0,both
Georgia,GA,Glynn County,86172.0,43912.0,both
Georgia,GA,Gordon County,59757.0,27606.0,both
Georgia,GA,Grady County,26066.0,10718.0,both
Georgia,GA,Greene County,20722.0,12786.0,both
Georgia,GA,Gwinnett County,983526.0,420681.0,both
Georgia,GA,Habersham County,48757.0,23280.0,both
Georgia,GA,Hall County,217267.0,101973.0,both
Georgia,GA,Hancock County,8676.0,4240.0,both
Georgia,GA,Haralson County,32038.0,16364.0,both
Georgia,GA,Harris County,36654.0,22353.0,both
Georgia,GA,Hart County,27556.0,14331.0,both
Georgia,GA,Heard County,12034.0,6210.0,both
Georgia,GA,Henry County,254613.0,129034.0,both
Georgia,GA,Houston County,171974.0,81514.0,both
Georgia,GA,Irwin County,9120.0,4342.0,both
Georgia,GA,Jackson County,88615.0,47243.0,both
Georgia,GA,Jasper County,16455.0,9118.0,both
Georgia,GA,Jeff Davis County,14906.0,5872.0,both
Georgia,GA,Jefferson County,15183.0,7463.0,both
Georgia,GA,Jenkins County,8627.0,3409.0,both
Georgia,GA,Johnson County,9282.0,3984.0,both
Georgia,GA,Jones County,28969.0,16092.0,both
Georgia,GA,Lamar County,20401.0,10412.0,both
Georgia,GA,Lanier County,10452.0,3736.0,both
Georgia,GA,Laurens County,49941.0,23352.0,both
Georgia,GA,Lee County,33872.0,17683.0,both
Georgia,GA,Liberty County,69210.0,23028.0,both
