state_name,state_code,county_name,population,total_votes,turnout,college_educated,households_total,households_mean_income,households_median_income,families_total,families_mean_income,families_median_income,_merge
Alabama,AL,St. Clair County,95552.0,43440.0,0.4546215673141326,13644,34477,92258,78993,25029,103303,91091,both
Alabama,AL,Sumter County,11727.0,5297.0,0.4516926750234502,1406,4765,50405,37981,3091,59096,47521,both
Alabama,AL,Talladega County,81132.0,33175.0,0.4089015431642262,10027,32889,72746,56249,22294,85268,68513,both
Alabama,AL,Tallapoosa County,40677.0,19980.0,0.49118666568331,5761,16548,75764,57185,10974,89573,70461,both
Alabama,AL,Tuscaloosa County,237373.0,84879.0,0.35757647247159535,49295,87289,85068,63947,54049,105937,86287,both
Alabama,AL,Walker County,64728.0,29747.0,0.45956927450253365,7460,24843,69909,54509,16689,84604,72089,both
Alabama,AL,Washington County,15022.0,8430.0,0.5611769404872853,1841,5678,80526,60503,4251,95288,84911,both
Alabama,AL,Wilcox County,9944.0,5260.0,0.5289621882542237,868,3693,56527,42236,2255,66361,54517,both
Alabama,AL,Winston County,23611.0,11129.0,0.4713481004616492,2335,9328,66939,48032,6492,79311,64579,both
Alaska,AK,Aleutians East Borough,,,,,998,86888,72692,548,95631,78889,right_only
Alaska,AK,Aleutians West Census Area,,,,,977,122928,107344,537,132831,126528,right_only
Alaska,AK,All,733406.0,338177.0,0.46110476325527744,155933,267865,114947,89336,171553,133487,108134,both
Alaska,AK,Anchorage Municipality,,,,,107868,127598,98152,67750,147873,119109,right_only
Alaska,AK,Bethel Census Area,,,,,4661,90872,70616,3530,94891,73824,right_only
Alaska,AK,Bristol Bay Borough,,,,,283,126030,100625,172,151007,113500,right_only
Alaska,AK,Chugach Census Area,,,,,2679,109799,88565,1786,122280,105756,right_only
Alaska,AK,Copper River Census Area,,,,,1146,90710,75053,648,111871,98704,right_only
Alaska,AK,Denali Borough,,,,,533,103321,88935,281,143901,136406,right_only
Alaska,AK,Dillingham Census Area,,,,,1383,91943,74250,1015,93697,76125,right_only
Alaska,AK,Fairbanks North Star Borough,,,,,36176,110923,84722,22843,133355,105862,right_only
Alaska,AK,Haines Borough,,,,,899,83299,72607,514,108477,101204,right_only
Alaska,AK,Hoonah-Angoon Census Area,,,,,922,83266,62500,519,104818,85694,right_only
Alaska,AK,Juneau City and Borough,,,,,13138,122575,100513,7619,147500,119080,right_only
Alaska,AK,Kenai Peninsula Borough,,,,,23902,102341,77722,14171,128156,103331,right_only
Alaska,AK,Ketchikan Gateway Borough,,,,,5621,112238,89155,3550,129315,110407,right_only
Alaska,AK,Kodiak Island Borough,,,,,4608,102245,83716,3195,119451,104647,right_only
Alaska,AK,Kusilvak Census Area,,,,,1891,63070,48233,1589,62932,49650,right_only
Alaska,AK,Lake and Peninsula Borough,,,,,322,74678,64000,233,80567,66250,right_only
Alaska,AK,Matanuska-Susitna Borough,,,,,39682,111363,90625,27839,126163,106547,right_only
Alaska,AK,Nome Census Area,,,,,2786,98246,76643,2020,101596,75900,right_only
Alaska,AK,North Slope Borough,,,,,2205,110508,86313,1631,118276,94554,right_only
Alaska,AK,Northwest Arctic Borough,,,,,1817,100502,81298,1377,99219,80350,right_only
Alaska,AK,Petersburg Borough,,,,,1319,98129,77026,865,120718,94821,right_only
Alaska,AK,Prince of Wales-Hyder Census Area,,,,,2348,80149,59079,1428,92729,76600,right_only
Alaska,AK,Sitka City and Borough,,,,,3503,107564,101207,2241,122529,112953,right_only
Alaska,AK,Skagway Municipality,,,,,451,98060,78594,217,137091,126458,right_only
Alaska,AK,Southeast Fairbanks Census Area,,,,,2311,91780,74223,1518,108551,89118,right_only
