state_code,county_name,population,total_votes,turnout
GA,Evans County,10754.0,4244.0,0.3946438534498791
GA,Fannin County,25955.0,16096.0,0.620150260065498
GA,Fayette County,123351.0,74633.0,0.6050457637149274
GA,Floyd County,100113.0,44738.0,0.4468750312147274
GA,Forsyth County,272887.0,138249.0,0.5066162917251463
GA,Franklin County,24782.0,12140.0,0.489871681058833
GA,Fulton County,1079105.0,535238.0,0.4960017792522507
GA,Gilmer County,32860.0,18481.0,0.5624163116250761
GA,Glascock County,2954.0,1670.0,0.5653351387948544
GA,Glynn County,86172.0,43912.0,0.5095854802023859
GA,Gordon County,59757.0,27606.0,0.4619709824790401
GA,Grady County,26066.0,10718.0,0.4111869868794598
GA,Greene County,20722.0,12786.0,0.6170253836502269
GA,Gwinnett County,983526.0,420681.0,0.42772738087249346
GA,Habersham County,48757.0,23280.0,0.4774699017576963
GA,Hall County,217267.0,101973.0,0.46934417099697606
GA,Hancock County,8676.0,4240.0,0.4887044721069617
GA,Haralson County,32038.0,16364.0,0.5107684624508396
GA,Harris County,36654.0,22353.0,0.6098379440170241
GA,Hart County,27556.0,14331.0,0.5200682247060531
GA,Heard County,12034.0,6210.0,0.516037892637527
GA,Henry County,254613.0,129034.0,0.5067848067459242
GA,Houston County,171974.0,81514.0,0.47399025434077247
GA,Irwin County,9120.0,4342.0,0.4760964912280702
GA,Jackson County,88615.0,47243.0,0.5331264458613102
GA,Jasper County,16455.0,9118.0,0.554117289577636
GA,Jeff Davis County,14906.0,5872.0,0.39393532805581644
GA,Jefferson County,15183.0,7463.0,0.4915365869722716
GA,Jenkins County,8627.0,3409.0,0.395154746725397
GA,Johnson County,9282.0,3984.0,0.42921784098254684
GA,Jones County,28969.0,16092.0,0.5554903517553247
GA,Lamar County,20401.0,10412.0,0.5103671388657419
GA,Lanier County,10452.0,3736.0,0.35744355147340223
GA,Laurens County,49941.0,23352.0,0.46759175827476424
GA,Lee County,33872.0,17683.0,0.5220536136041568
GA,Liberty County,69210.0,23028.0,0.3327264846120503
GA,Lincoln County,7879.0,4931.0,0.6258408427465414
GA,Long County,19594.0,7056.0,0.3601102378279065
GA,Lowndes County,120712.0,47795.0,0.3959424083769634
GA,Lumpkin County,35258.0,17808.0,0.5050768619887686
GA,Macon County,11817.0,4686.0,0.3965473470423965
GA,Madison County,32191.0,16787.0,0.5214811593302476
GA,Marion County,7440.0,3621.0,0.4866935483870968
GA,McDuffie County,21799.0,10537.0,0.48337079682554246
GA,McIntosh County,11501.0,7408.0,0.6441179027910616
GA,Meriwether County,20931.0,11788.0,0.5631837943719842
GA,Miller County,5747.0,2724.0,0.4739864277014094
GA,Mitchell County,21114.0,8877.0,0.42043194089229896
GA,Monroe County,30625.0,17704.0,0.5780897959183674
GA,Montgomery County,8761.0,3973.0,0.45348704485789293
