state_name,state_code,county_name,college_educated
Florida,FL,Okeechobee County,4795
Florida,FL,Orange County,395978
Florida,FL,Osceola County,80722
Florida,FL,Palm Beach County,454160
Florida,FL,Pasco County,124593
Florida,FL,Pinellas County,277504
Florida,FL,Polk County,124199
Florida,FL,Putnam County,7665
Florida,FL,St. Johns County,104364
Florida,FL,St. Lucie County,65856
Florida,FL,Santa Rosa County,44449
Florida,FL,Sarasota County,146251
Florida,FL,Seminole County,149714
Florida,FL,Sumter County,43851
Florida,FL,Suwannee County,5353
Florida,FL,Taylor County,2456
Florida,FL,Union County,1156
Florida,FL,Volusia County,118618
Florida,FL,Wakulla County,5631
Florida,FL,Walton County,20656
Florida,FL,Washington County,2359
Georgia,GA,Appling County,1390
Georgia,GA,Atkinson County,559
Georgia,GA,Bacon County,822
Georgia,GA,Baker County,346
Georgia,GA,Baldwin County,6999
Georgia,GA,Banks County,2334
Georgia,GA,Barrow County,12523
Georgia,GA,Bartow County,18076
Georgia,GA,Ben Hill County,1420
Georgia,GA,Berrien County,1646
Georgia,GA,Bibb County,28484
Georgia,GA,Bleckley County,1567
Georgia,GA,Brantley County,1410
Georgia,GA,Brooks County,1650
Georgia,GA,Bryan County,10714
Georgia,GA,Bulloch County,15430
Georgia,GA,Burke County,2423
Georgia,GA,Butts County,2572
Georgia,GA,Calhoun County,528
Georgia,GA,Camden County,8467
Georgia,GA,Candler County,1070
Georgia,GA,Carroll County,18387
Georgia,GA,Catoosa County,12129
Georgia,GA,Charlton County,994
Georgia,GA,Chatham County,78942
Georgia,GA,Chattahoochee County,1240
Georgia,GA,Chattooga County,1962
Georgia,GA,Cherokee County,77122
Georgia,GA,Clarke County,40905
Georgia,GA,Clay County,463
Georgia,GA,Clayton County,42225
Georgia,GA,Clinch County,624
Georgia,GA,Cobb County,274803
Georgia,GA,Coffee County,3976
Georgia,GA,Colquitt County,4930
Georgia,GA,Columbia County,41739
Georgia,GA,Cook County,1928
Georgia,GA,Coweta County,37310
Georgia,GA,Crawford County,1332
Georgia,GA,Crisp County,2209
Georgia,GA,Dade County,2272
Georgia,GA,Dawson County,7629
Georgia,GA,Decatur County,2887
Georgia,GA,DeKalb County,254924
Georgia,GA,Dodge County,2248
Georgia,GA,Dooly County,1164
Georgia,GA,Dougherty County,13281
Georgia,GA,Douglas County,30257
Georgia,GA,Early County,1139
